setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
base,long,KSS,331,331,1,0,2021-04-27,44.1611,1.7784895565275716,1.720703125,,1,16,1.9106750003161457,1.9622973696108692,15,12,0,12.9625,1.0517578125
base,long,KSS,1467,1467,1,0,2025-11-03,16.1517,0.7317527804729052,33.34375,0.82421875,1,15,3.162891275321271,2.0861169368290686,7,12,0,12.9625,1.0517578125
base,long,SCL,334,334,1,0,2021-04-30,119.0976,2.649232935826871,7.30859375,,1,60,2.9727406332778683,4.922146037820891,6,54,0,12.9625,1.0517578125
base,long,TBBK,334,335,2,0,2021-05-03,22.08,0.8228571428571421,14.0234375,,1,60,5.61458333333334,1.9201388888888886,32,53,0,12.9625,1.0517578125
base,long,JEF,335,335,1,0,2021-05-03,26.4043,0.5723647575647739,8.4140625,,1,38,2.3967462618238726,4.807160850970973,5,33,0,12.9625,1.0517578125
base,long,WLK,335,336,2,0,2021-05-04,90.3132,2.60890593664593,11.9296875,,0,60,3.1279045435298114,6.943831982473644,22,52,0,12.9625,1.0517578125
base,long,BIIB,343,343,1,0,2021-05-13,281.71,6.2585714285714245,17.1875,,1,47,29.853458114585735,2.810545537548503,16,12,0,12.9625,1.0517578125
base,long,TBCH,344,344,1,0,2021-05-14,28.0,1.8392142857142866,6.40234375,,1,56,5.817701658316826,0.39147151345683245,21,1,0,12.9625,1.0517578125
base,long,EGBN,345,348,4,0,2021-05-20,45.7665,1.3104141049581213,4.328125,,1,41,1.7515918385007054,1.9635242522064489,19,13,0,12.9625,1.0517578125
base,long,EGBN,353,353,1,0,2021-05-27,46.2484,1.542041569001911,4.328125,,1,36,1.1759803936249198,1.9810943731536257,14,8,0,12.9625,1.0517578125
base,long,REPL,348,349,2,0,2021-05-21,36.22,2.4607071428571423,6.7578125,,1,52,1.6255489856284058,2.442387350906679,26,39,0,12.9625,1.0517578125
base,long,FCG,351,351,1,0,2021-05-25,12.1275,0.45918646601468655,15.90625,,0,60,5.792903835922226,3.462449715518212,26,60,0,12.9625,1.0517578125
base,long,FCG,354,354,1,0,2021-05-28,12.6487,0.41699091807443917,15.90625,,0,60,5.129183748789071,5.062724287547912,23,57,0,12.9625,1.0517578125
base,long,OVV,351,351,1,0,2021-05-25,22.2974,1.0472268241530374,18.296875,,1,42,7.097637085597286,0.7336032988102862,26,37,0,12.9625,1.0517578125
base,long,SCHW,351,352,2,0,2021-05-26,67.1777,1.789667464644836,5.66015625,,1,34,2.539829235805882,2.2040316503333726,6,29,0,12.9625,1.0517578125
base,long,DVN,352,352,1,0,2021-05-26,20.5251,0.8948569701346347,16.96875,,1,46,4.846106326832439,1.8052199761669048,7,36,0,12.9625,1.0517578125
base,long,DVN,1434,1434,1,0,2025-09-17,35.0007,0.9846607460739862,-3.40625,0.1973876953125,1,34,1.8570648209625953,3.9516354483614657,7,24,0,12.9625,1.0517578125
base,long,GLNG,352,352,1,0,2021-05-26,10.8321,0.5543157257162548,11.015625,,1,52,3.3084584256855396,2.3143128374039246,21,52,0,12.9625,1.0517578125
base,long,PTEN,352,352,1,0,2021-05-26,7.2043,0.4706274577330997,20.5,,1,43,5.499281882339624,1.1657014525961586,19,36,0,12.9625,1.0517578125
