date,open,high,low,close,volume,ema8,ema21,spread,spread_pct
2021-05-11,413.100000,415.270000,410.060000,414.210000,116888000,417.292917,414.638926,2.653990,0.640735
2021-05-12,411.230000,412.590000,404.000000,405.410000,134811000,414.652269,413.799933,0.852336,0.210240
2021-05-13,407.070000,412.350000,407.020000,410.280000,106394000,413.680653,413.479939,0.200714,0.048921
2021-05-14,413.210000,417.490000,413.180000,416.580000,82201600,414.324953,413.761763,0.563190,0.135194
2021-05-17,415.390000,416.390000,413.360000,415.520000,65129200,414.590519,413.921603,0.668916,0.160983
2021-05-18,415.800000,416.060000,411.770000,411.940000,59810200,414.001515,413.741457,0.260058,0.063130
2021-05-19,406.920000,411.050000,405.330000,410.860000,106467100,413.303400,413.479506,-0.176106,-0.042863
2021-05-20,411.800000,416.630000,411.670000,415.280000,78022200,413.742645,413.643188,0.099457,0.023949
2021-05-21,416.870000,418.200000,414.450000,414.940000,76578700,414.008724,413.761080,0.247644,0.059682
2021-05-24,417.340000,420.320000,417.080000,419.170000,51376700,415.155674,414.252800,0.902874,0.215396
2021-05-25,420.330000,420.710000,417.620000,418.240000,57451400,415.841080,414.615272,1.225807,0.293087
2021-05-26,418.870000,419.610000,417.760000,419.070000,43088600,416.558618,415.020248,1.538370,0.367091
2021-05-27,420.170000,420.720000,418.990000,419.290000,56707700,417.165591,415.408407,1.757185,0.419086
2021-05-28,420.970000,421.250000,419.790000,420.040000,58520200,417.804349,415.829461,1.974888,0.470167
2021-06-01,422.570000,422.720000,419.200000,419.670000,54216600,418.218938,416.178601,2.040337,0.486177
2021-06-02,420.370000,421.230000,419.290000,420.330000,49097100,418.688063,416.556001,2.132062,0.507235
2021-06-03,417.850000,419.990000,416.280000,418.770000,58138800,418.706271,416.757273,1.948998,0.465410
2021-06-04,420.750000,422.920000,418.840000,422.600000,55938800,419.571544,417.288430,2.283114,0.540254
2021-06-07,422.590000,422.780000,421.190000,422.190000,51555000,420.153423,417.734028,2.419396,0.573059
2021-06-08,423.110000,423.210000,420.320000,422.280000,47134300,420.625996,418.147298,2.478698,0.586980
2021-06-09,423.180000,423.260000,421.410000,421.650000,48436300,420.853552,418.465725,2.387827,0.566305
2021-06-10,422.960000,424.630000,421.550000,423.610000,51020100,421.466096,418.933387,2.532710,0.597887
2021-06-11,424.200000,424.430000,422.820000,424.310000,45570800,422.098075,419.422170,2.675905,0.630649
2021-06-14,424.430000,425.370000,423.100000,425.260000,42358500,422.800725,419.952881,2.847843,0.669671
2021-06-15,425.420000,425.460000,423.540000,424.480000,51508500,423.173897,420.364438,2.809459,0.661859
2021-06-16,424.630000,424.870000,419.920000,422.110000,80386100,422.937476,420.523125,2.414350,0.571972
2021-06-17,421.670000,423.020000,419.320000,421.970000,90949700,422.722481,420.654659,2.067822,0.490040
2021-06-18,417.090000,417.830000,414.700000,414.920000,118676300,420.988596,420.133327,0.855270,0.206129
2021-06-21,416.800000,421.060000,415.930000,420.860000,72822000,420.960019,420.199388,0.760632,0.180733
2021-06-22,420.850000,424.000000,420.080000,423.110000,57700300,421.437793,420.463989,0.973804,0.230154
2021-06-23,423.190000,424.050000,422.510000,422.600000,49445400,421.696061,420.658172,1.037889,0.245596
2021-06-24,424.890000,425.550000,424.620000,425.100000,45110300,422.452492,421.061974,1.390518,0.327104
2021-06-25,425.900000,427.090000,425.550000,426.610000,58129500,423.376383,421.566340,1.810042,0.424285
2021-06-28,427.170000,427.650000,425.890000,427.470000,53159600,424.286075,422.103037,2.183039,0.510688
2021-06-29,427.880000,428.560000,427.130000,427.700000,35970500,425.044725,422.611851,2.432874,0.568827
2021-06-30,427.210000,428.780000,427.180000,428.060000,64827900,425.714786,423.107138,2.607649,0.609178
2021-07-01,428.870000,430.600000,428.800000,430.430000,53441000,426.762612,423.772852,2.989759,0.694598
2021-07-02,431.670000,434.100000,430.520000,433.720000,57697700,428.308698,424.677139,3.631559,0.837305
2021-07-06,433.780000,434.010000,430.010000,432.930000,68710400,429.335654,425.427399,3.908255,0.902745
2021-07-07,433.660000,434.760000,431.510000,434.460000,63549500,430.474398,426.248544,4.225853,0.972668
2021-07-08,428.780000,431.730000,427.520000,430.920000,97595200,430.573420,426.673222,3.900198,0.905086
2021-07-09,432.530000,435.840000,430.710000,435.520000,76238600,431.672660,427.477475,4.195186,0.963259
2021-07-12,435.430000,437.350000,434.970000,437.080000,52889600,432.874291,428.350431,4.523860,1.035019
2021-07-13,436.240000,437.840000,435.310000,435.590000,52911300,433.477782,429.008574,4.469208,1.026013
2021-07-14,437.400000,437.920000,434.910000,436.240000,64130400,434.091608,429.665976,4.425632,1.014495
2021-07-15,434.810000,435.530000,432.720000,434.750000,55126400,434.237918,430.128160,4.109757,0.945315
2021-07-16,436.010000,436.060000,430.920000,431.340000,75874700,433.593936,430.238328,3.355608,0.777950
2021-07-19,426.190000,431.410000,421.970000,424.970000,147987000,431.677506,429.759389,1.918117,0.451353
2021-07-20,425.680000,432.420000,424.830000,431.060000,99608200,431.540282,429.877626,1.662656,0.385713
2021-07-21,432.340000,434.700000,431.010000,434.550000,64724400,432.209108,430.302387,1.906721,0.438781
2021-07-22,434.740000,435.720000,433.690000,435.460000,47878500,432.931529,430.771261,2.160267,0.496089
2021-07-23,437.520000,440.300000,436.790000,439.940000,63766600,434.488967,431.604783,2.884184,0.655586
2021-07-26,439.310000,441.030000,439.260000,441.020000,43719200,435.940308,432.460712,3.479596,0.788988
2021-07-27,439.910000,439.940000,435.990000,439.010000,67397100,436.622461,433.056102,3.566360,0.812364
2021-07-28,439.680000,440.300000,437.310000,438.830000,52472400,437.113026,433.581001,3.532024,0.804873
2021-07-29,439.820000,441.800000,439.810000,440.650000,47435300,437.899020,434.223638,3.675382,0.834082
2021-07-30,437.910000,440.060000,437.770000,438.510000,68951200,438.034793,434.613307,3.421486,0.780253
2021-08-02,440.340000,440.930000,437.210000,437.590000,58783300,437.935950,434.883915,3.052035,0.697464
