setup,direction,ticker,entry_date,signal_idx,entry_idx,signal_close,adr14,real_stop_dist_adr,fw_min_adr,fw_max_adr,fw_first_adr,fw_last_adr
dtss,short,SMCI,2022-06-06,1616,1617,5.481,0.2314,1.2273,1.2273,0.8235,1.2273,0.8235
dtss,short,SOUN,2023-06-29,292,293,4.71,0.4658,0.8588,0.8588,-0.0859,0.8588,0.0824
dtss,short,TJX,2022-01-05,1512,1513,72.097,1.2314,0.4655,0.4655,-0.9921,0.4655,-0.9921
dtss,short,TRNS,2024-07-24,2136,2137,143.1,4.6123,0.8705,0.8705,-0.4531,0.8705,-0.4531
dtss,short,UTSL,2024-11-27,1870,1871,40.7294,1.5285,0.4393,0.4393,0.0254,0.4393,0.0254
dtss,short,VCTR,2025-02-10,1759,1760,68.056,2.0393,0.6099,0.6099,-1.0875,0.6099,-1.0875
dtss,short,VRTX,2024-11-11,2228,2229,516.74,11.6828,0.1378,0.1378,-1.5827,0.1378,-1.5827
dtss,short,WAL,2022-01-12,1517,1518,110.7844,3.1412,0.9093,0.9093,0.1853,0.9093,0.1853
dtss,short,WGO,2024-04-01,2071,2072,69.5449,1.8776,0.0,0.0,-1.5316,0.0,-1.5316
dtss,short,WHD,2024-11-25,1709,1710,67.8435,2.2337,0.4359,0.4359,0.1012,0.4359,0.1012
dtss,short,WING,2024-09-24,2194,2195,425.1747,11.7825,0.5009,0.5009,-0.011,0.5009,0.0017
dtss,short,ZIM,2024-07-02,860,861,13.6182,0.5917,0.8116,0.8116,-0.6513,0.8116,-0.6513
dtss,short,ZVRA,2024-02-20,2044,2045,6.86,0.3036,1.3835,1.3835,0.56,1.3835,0.6918
htf,long,AFG,2021-02-04,1280,1281,55.544,1.7126,0.3853,0.3853,-2.4578,0.3853,-2.4578
htf,long,AGO,2023-12-19,2003,2004,69.5268,1.3179,0.0953,0.0953,-0.5275,0.0953,-0.3517
htf,long,AR,2020-12-17,1248,1249,4.76,0.385,-0.0519,-0.0519,-1.013,-0.0519,-0.987
htf,long,ASTS,2024-05-28,1078,1079,4.74,0.5855,0.1537,0.1537,-5.226,0.1537,-5.226
htf,long,BB,2024-12-20,2256,2257,2.98,0.1768,0.0,0.0,-4.1576,0.0,-4.1576
htf,long,CHEF,2024-12-03,2243,2244,44.02,1.2168,0.0575,0.0575,-1.8492,0.0575,-1.8492
htf,long,CLNE,2020-11-20,1230,1231,3.2,0.1961,0.255,0.255,-5.6106,0.255,-5.6106
htf,long,CR,2023-10-31,148,149,92.6821,3.017,0.1406,0.1406,-1.5415,0.1406,-1.5415
htf,long,EOSE,2025-09-18,1327,1328,8.5,0.6053,0.0991,0.0991,-2.2304,0.0991,-2.2304
htf,long,EQX,2025-08-22,2268,2269,7.8926,0.3106,0.4182,0.4182,-0.6434,0.4182,-0.6434
htf,long,FORM,2026-01-08,2517,2518,62.72,1.8887,1.0007,1.0007,-2.5996,1.0007,-2.5996
htf,long,FTDR,2024-08-06,1481,1482,43.68,1.6286,0.2855,0.2855,-0.2702,0.2855,-0.2702
htf,long,GME,2021-01-22,1271,1272,10.7575,1.2134,0.1463,0.1463,-7.6583,0.1463,-7.6583
htf,long,HTOO,2020-11-25,275,276,534.45,28.3998,0.0246,0.0246,-2.2553,0.0246,-2.2553
htf,long,HTT,2021-01-12,812,813,1.6,0.1,0.4,0.4,-1.85,0.4,-1.85
htf,long,LMND,2024-11-05,1092,1093,23.57,1.2068,0.058,0.058,-2.751,0.058,-2.751
htf,long,LMND,2024-11-06,1093,1094,25.05,1.262,-0.9826,-0.9826,-1.5531,-0.9826,-1.5531
htf,long,MOD,2023-06-02,1865,1866,27.14,1.0786,-0.2781,-0.2781,-2.0954,-0.2781,-2.0954
htf,long,NHI,2024-03-04,2053,2054,51.5923,1.3502,0.1325,0.1325,-0.0397,0.1325,-0.0397
htf,long,OGI,2021-02-08,1278,1279,9.36,0.8586,-0.6522,-0.6522,-11.1814,-0.6522,-11.1814
