setup,ticker,entry_date,cluster_size,offset_from_rm,is_entry_max_high_in_cluster_to_entry,is_entry_max_close_in_cluster_to_entry,new_20d_high,new_50d_high,new_100d_high,new_20d_close,new_50d_close,dist_to_pre20_high_adr,dist_to_pre50_high_adr,dist_to_pre100_high_adr,entry_rng_adr,close_pos,adr
base,KTOS,2025-05-16,2,0,True,True,False,False,False,False,False,-1.207664673178378,-1.207664673178378,-1.207664673178378,0.9057485048837808,0.9674796747967486,1.3579928571428574
base,KTOS,2025-09-11,1,1,True,True,False,False,False,False,False,-1.7873096446700516,-1.7873096446700516,-1.7873096446700516,1.2560913705583798,0.5855728429985859,2.8142857142857136
base,LNG,2021-04-23,1,1,True,True,False,False,False,False,False,-0.6640050808646583,-1.6293295668992689,-1.6293295668992689,1.3112796714990191,0.9744680851063824,1.7126954179275973
base,PAG,2021-09-15,1,4,True,True,True,True,False,True,True,0.24439505584066923,0.1445270920345178,-0.334804105693583,1.1023617031296797,0.9260869565217444,1.874286076870273
base,PSIX,2025-05-12,1,1,True,True,True,False,False,True,False,2.431548402518691,-1.1861211719603393,-4.757193128969498,1.715597190829347,0.8666880663720085,2.3606357142857144
base,PTON,2024-10-14,1,1,True,True,True,True,True,True,True,0.6020006336848789,0.4435794142941222,0.4435794142941222,2.344000362105644,0.8783454987834551,0.3156142857142857
base,QXO,2025-06-06,1,1,True,True,True,True,True,True,True,-0.021276595744680393,-0.021276595744680393,-0.021276595744680393,1.808510638297871,0.7352941176470591,0.9400000000000003
base,RCAT,2024-11-05,1,1,True,True,False,False,False,False,False,-2.231759656652361,-2.231759656652361,-2.231759656652361,1.201716738197426,0.892857142857142,0.23299999999999996
base,RGTI,2025-09-12,1,1,True,True,True,True,True,True,True,0.8081244598098519,0.8081244598098519,0.8081244598098519,2.994814174589455,0.7012987012987012,1.157
base,RH,2020-07-15,1,1,True,True,True,True,True,True,True,0.4049737661273097,0.4049737661273097,0.4049737661273097,1.0593810228669964,0.925246195165619,10.543892857142856
base,SA,2025-08-29,5,1,True,True,True,True,True,True,True,0.6588235294117705,0.5490196078431389,0.5490196078431389,2.0862745098039235,0.8684210526315803,0.5464285714285712
base,SFM,2023-11-30,1,1,True,True,True,False,False,True,False,0.2399538789946855,-1.4724442574673975,-1.4724442574673975,2.045061468704717,0.9653333333333307,0.9168428571428571
base,SIMO,2021-12-03,1,1,True,True,True,True,False,True,True,0.6824583258381657,-0.06313656304499278,-2.5983544300138233,1.4367960374051822,0.72358900144718,2.191133692509767
base,SKY,2021-11-03,1,1,True,True,True,True,True,True,True,1.6803352289733577,1.374438790781204,1.374438790781204,2.0909907213409142,0.2084168336673333,2.386428571428571
base,SNBR,2020-10-02,1,1,True,True,True,True,False,True,True,0.2543579443914059,0.2543579443914059,-1.4059057289997778,1.9087482616120992,0.8819324982434043,2.1623071428571436
base,SNDK,2025-08-22,1,1,True,True,False,False,False,False,False,-0.9583356532960406,-1.581941628646573,-2.9896404112393196,0.7153127364314911,0.47435897435897256,2.180864285714286
base,SNDK,2026-01-02,1,1,True,True,True,False,False,True,False,0.7737174193813082,-0.5360780539132545,-0.5360780539132545,1.7906940731138012,0.9823930263931657,17.758421428571427
base,SOUN,2024-11-21,1,1,True,True,False,False,False,False,False,-1.3176470588235283,-1.3176470588235283,-1.3176470588235283,1.378932968536252,0.666666666666667,0.6526785714285716
base,STRL,2025-09-10,1,1,True,True,False,False,False,False,False,-1.1415448851774546,-1.7252609603340316,-1.7252609603340316,1.096768267223383,0.771292390625713,11.974999999999998
base,TSLA,2025-09-11,1,3,True,True,True,True,True,True,True,1.046200046200047,1.046200046200047,0.08893508893509085,1.7293832293832299,0.9915848527349226,12.368571428571418
