feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry,class
es_ext50_ch_pos_5,1.0916091,0.3581476,-0.14468181,0.7128184,1.7343701,118,breakout
es_ext50_rsi_slope_5_off1,24.218693,12.869543,-1.4247898,14.989538,1.7107587,118,breakout
es_ext50_rsi_slope_7_off1,19.13777,10.000573,-0.30934677,11.711894,1.6604587,118,breakout
ct_l_gt_xavgc8_3,1.2605042,1.0928289,2.472689,0.7420279,1.6336107,119,breakout
es_ext50_rsi_slope_9_off1,15.786547,8.353825,0.19619256,9.759985,1.5973748,118,breakout
es_ext200_ch_pos_5,1.0363948,0.39383975,-0.12760061,0.73897904,1.5751401,110,breakout
es_ext50_ch_pos_7,1.1871842,0.62362325,0.060477957,0.7500634,1.5021479,117,breakout
es_ext50_rsi_slope_14_off1,10.983324,6.013192,0.61395186,7.058764,1.4690068,118,breakout
es_ext200_rsi_slope_5_off1,20.550657,11.879103,-0.9679702,14.822162,1.4517874,110,breakout
st_l_gt_xavgc8_50,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118,breakout
st_l_gt_xavgc8_20,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118,breakout
st_l_gt_xavgc8_30,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118,breakout
st_l_gt_xavgc8_15,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118,breakout
es_ext200_rsi_slope_7_off1,16.335814,9.040676,-0.044557333,11.629443,1.4085258,110,breakout
es_ext50_tl_dev_5,0.502887,0.34276056,-0.09111968,0.42977387,1.3821377,118,breakout
