setup,class,ticker,entry_date,direction,entry_idx,entry_close,adr,stop,stop_distance_adr,outcome,reason,bars,move_adr,had_earnings,status
dtss,fade,PSIX,2025-09-24,short,1439.0,110.87,6.548478571428572,119.7,1.3484048094050194,WIN,earnings_flat_favorable,30.0,3.4084252939886808,1.0,done
dtss,fade,REPX,2025-01-21,short,1269.0,34.1548,1.0530365263289094,35.07007765928356,0.8691794029922182,WIN,exit_fired,1.0,0.12411725209157763,1.0,done
dtss,fade,ROOT,2024-05-01,short,881.0,69.91,6.4849999999999985,86.57,2.569005397070162,WIN,exit_fired,4.0,1.0701619121048573,1.0,done
dtss,fade,SERV,2025-01-06,short,208.0,22.89,2.84225,24.35,0.5136775441991384,WIN,earnings_flat_favorable,39.0,5.1402937813352105,1.0,done
dtss,fade,SFM,2025-06-03,short,1361.0,175.21,5.454835714285715,182.0,1.244767093941547,WIN,earnings_flat_favorable,38.0,3.3493217682344776,1.0,done
dtss,fade,SLS,2025-10-20,short,1457.0,2.01,0.1577785714285714,2.48,2.9788582552401666,WIN,earnings_flat_favorable,16.0,3.1689981438725146,1.0,done
dtss,fade,SMCI,2022-06-06,short,611.0,5.499,0.2421428571428573,5.765,1.0985250737463121,WIN,exit_fired,20.0,6.562241887905598,1.0,done
dtss,fade,SOUN,2023-06-29,short,293.0,4.5,0.4972928571428573,5.11,1.2266413869378494,WIN,earnings_flat_favorable,26.0,4.966892173338503,1.0,done
dtss,fade,TJX,2022-01-05,short,507.0,70.6122,1.256595359599277,72.67023457545915,1.637786229065373,WIN,exit_fired,13.0,4.83114946559723,1.0,done
dtss,fade,TRNS,2024-07-24,short,1146.0,140.34,4.8576999999999995,147.115,1.39469296168969,WIN,earnings_flat_favorable,2.0,0.06999197150915112,1.0,done
dtss,fade,UTSL,2024-11-27,short,1235.0,40.6418,1.4826077985266228,41.40091408045977,0.5120127394541935,WIN,exit_fired,26.0,6.096622457390705,0.0,done
dtss,fade,VCTR,2025-02-10,short,1283.0,67.4774,2.1308984964802167,69.29981048871106,0.8552310172076638,WIN,exit_fired,40.0,8.302976434224663,1.0,done
dtss,fade,VRTX,2024-11-11,short,1223.0,501.72,12.320671428571432,518.35,1.3497641014462332,WIN,exit_fired,11.0,2.8123467297120888,1.0,done
dtss,fade,WAL,2022-01-12,short,512.0,111.0118,3.2607096113946312,113.64064383808586,0.8062183240418926,WIN,earnings_flat_favorable,9.0,3.4313083142704577,1.0,done
dtss,fade,WGO,2024-04-01,short,1066.0,68.4266,1.9094651501862339,69.5449581101497,0.5856918153445346,WIN,earnings_flat_favorable,55.0,7.65549452346605,1.0,done
dtss,fade,WHD,2024-11-25,short,1233.0,68.3352,2.2276959742790594,68.81705707296014,0.21630288806176998,WIN,exit_fired,20.0,5.311002998884943,1.0,done
dtss,fade,WING,2024-09-24,short,1189.0,424.1215,11.717200430280908,431.076591833388,0.5935796587906669,WIN,earnings_flat_favorable,25.0,4.911446240287652,1.0,done
dtss,fade,ZIM,2024-07-02,short,861.0,13.387,0.5629294654769242,14.098443755535875,1.2638239764783434,WIN,exit_fired,14.0,4.518150418445737,1.0,done
dtss,fade,ZVRA,2024-02-20,short,1039.0,6.89,0.3207142857142858,7.28,1.2160356347438768,WIN,earnings_flat_favorable,26.0,2.962138084632514,1.0,done
htf,breakout,AFG,2021-02-04,long,275.0,57.3097,1.9567505835511665,54.88414423236514,1.2395835156634496,WIN,earnings_flat_favorable,60.0,8.557401306410368,1.0,done
htf,breakout,AGO,2023-12-19,long,998.0,70.444,1.3199979181975061,69.40124342105264,0.7899683511404889,WIN,earnings_flat_favorable,45.0,9.31137832155349,1.0,done
htf,breakout,AR,2020-12-17,long,243.0,5.17,0.40642857142857153,4.78,0.9595782073813698,WIN,earnings_flat_favorable,39.0,10.629173989455182,1.0,done
htf,breakout,ASTS,2024-05-28,long,1057.0,5.33,0.6300785714285715,4.65,1.079230481459228,WIN,earnings_flat_favorable,53.0,24.806430037070207,1.0,done
htf,breakout,BB,2024-12-20,long,1251.0,3.69,0.22035714285714286,2.98,3.2220421393841163,WIN,exit_fired,38.0,9.847649918962725,1.0,done
htf,breakout,CHEF,2024-12-03,long,1238.0,45.0,1.2496428571428564,43.95,0.8402400685910243,WIN,earnings_flat_favorable,46.0,7.586167476421837,1.0,done
htf,breakout,CLNE,2020-11-20,long,225.0,3.48,0.2139142857142857,3.15,1.542673968211567,WIN,exit_fired,58.0,56.3777213837318,1.0,done
