setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,AXL,297,297,1,0,2021-03-09,11.42,0.5881214285714284,,62.96875,1,41,4.709911704337054,2.550493702709597,30,3,0,56.875,76.69375000000002
dtss,short,DCH,297,297,1,0,2021-03-09,11.42,0.5878571428571427,,62.96875,1,41,4.712029161603889,2.5516403402187127,30,3,0,56.875,76.69375000000002
dtss,short,ITGR,297,297,1,0,2021-03-09,92.02,3.454278571428572,,91.4375,1,35,1.9512033730425395,1.3577364717462186,12,35,0,56.875,76.69375000000002
dtss,short,ITGR,378,378,1,0,2021-07-02,95.34,2.2803571428571408,,86.375,1,17,4.2888018794048595,1.8812842599843365,10,17,0,56.875,76.69375000000002
dtss,short,NHI,297,297,1,0,2021-03-09,53.6894,1.5919693927119327,,79.25,1,42,0.8064555772416239,2.6934183813163424,40,4,0,56.875,76.69375000000002
dtss,short,PHAT,297,297,1,0,2021-03-09,48.68,3.2680714285714285,,41.9375,1,14,3.8371254343977443,0.5477236465368389,14,1,0,56.875,76.69375000000002
dtss,short,ROST,297,297,1,0,2021-03-09,117.946,4.257857254947355,,86.9375,1,50,2.4458595628135176,2.1161489303396137,12,43,0,56.875,76.69375000000002
dtss,short,CPAY,298,298,1,0,2021-03-10,285.37,8.489999999999993,,79.9375,1,38,1.9823321554770315,1.176678445229684,15,35,0,56.875,76.69375000000002
dtss,short,SPHR,230,230,1,0,2021-03-10,53.5797,2.914058144990939,,56.3125,1,40,5.443100483994659,0.37501468937558263,15,1,0,56.875,76.69375000000002
dtss,short,SPHR,877,877,1,0,2023-10-04,40.67,1.914285714285713,,42.75,1,24,5.056716417910453,0.19328358208955104,19,1,0,56.875,76.69375000000002
dtss,short,CPS,299,299,1,0,2021-03-11,43.3,2.936157142857143,,63.96875,1,39,5.663865791535095,1.5496445791632418,37,2,0,56.875,76.69375000000002
dtss,short,GPN,299,299,1,0,2021-03-11,200.4531,5.649831343962979,,79.6875,1,36,1.721059321477395,1.8512375130128886,10,31,0,56.875,76.69375000000002
dtss,short,MA,299,299,1,0,2021-03-11,372.9066,12.946456179954263,,78.75,1,33,2.5657881819837995,1.3186172618764156,6,33,0,56.875,76.69375000000002
dtss,short,BRBR,300,300,1,0,2021-03-12,26.03,0.8914285714285715,,71.5,1,37,2.961538461538462,0.39262820512820273,9,2,0,56.875,76.69375000000002
dtss,short,BRBR,1112,1112,1,0,2024-06-04,60.41,1.5414214285714276,,49.9375,1,41,7.642296766898828,0.7395771064740809,35,2,0,56.875,76.69375000000002
dtss,short,ET,300,300,1,0,2021-03-12,5.7208,0.2725827676842085,,82.1875,1,37,2.7470711334357767,1.4603090546796265,9,37,0,56.875,76.69375000000002
dtss,short,ET,591,591,1,0,2022-05-06,8.5203,0.32290495471051456,,69.0625,1,59,5.626788620066776,1.8149108920862287,40,22,0,56.875,76.69375000000002
