feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
nr_c_maxh63_atr14,0.8385825,0.5917382,2.4651155,0.97580725,1.6668589,73
dist_from_xavgc12_adr14,1.3052402,0.8267533,-0.2645417,0.94237137,1.6657783,73
ext_xavgc12_adr14,1.3052402,0.8267533,-0.2645417,0.94237137,1.6657783,73
slope_xavgc12_off1_adr14,0.23730114,0.15031089,-0.048098594,0.17133823,1.6657096,73
cci_30,168.70676,65.4808,35.272976,80.16125,1.6645671,73
nr_c_maxh65_atr14,0.8429436,0.58956087,2.4674966,0.9770815,1.6626587,73
ext_ceil_xavgc12_atr14_lb504,0.32297277,0.20543736,-0.06881616,0.23604904,1.6597776,70
nr_c_maxh70_atr14,0.8495722,0.58993375,2.4699914,0.9768247,1.6588639,73
low_vs_xavgc8_adr14,0.5743917,0.7100325,-0.81753623,0.83916974,1.6586965,73
nr_c_maxh40_adr14,0.7354491,0.69110906,2.6213195,1.1372702,1.6582431,73
ext_ceil_xavgc8_adr14_lb504,0.26217857,0.21410196,-0.12802286,0.2353874,1.657699,70
slope_xavgc13_off1_adr14,0.22936907,0.139718,-0.036605887,0.16082576,1.6538082,73
ext_xavgc13_adr14,1.3762984,0.8385357,-0.21963175,0.9650244,1.6537719,73
es_ext50_stoch_9,74.96062,28.475157,27.063034,28.989859,1.6522186,73
spread_slope_xavgc8_xavgc21_off3_adr14,0.31641734,0.3131131,-0.21954298,0.3249084,1.6495736,73
ext_ceil_xavgc21_adr14_lb1260,0.322208,0.19626713,-0.015910227,0.20521331,1.6476427,18
es_ext200_roc_4,25.766743,38.34625,-27.440994,32.337254,1.6454006,73
retrace_10,0.7436858,0.15842454,0.38646093,0.2171915,1.644746,73
range_pos_10,0.7436858,0.15842454,0.38646093,0.2171915,1.644746,73
ext_ceil_xavgc8_atr14_lb126,0.32982394,0.24268347,-0.16678995,0.30215904,1.6435513,73
es_ext50_stoch_10,76.2546,27.01536,28.84813,28.86121,1.642567,73
es_ext50_floor_10,0.7625351,0.2701726,0.28848928,0.2886296,1.6424019,73
es_ext50_range_pos_10,0.7625351,0.2701726,0.28848928,0.2886296,1.6424019,73
ext_slope_xavgc21_adr14_5b,0.82309526,1.2763622,-1.380022,1.3445143,1.6385972,73
slope_xavgc9_off3_atr14,0.76987696,0.38196486,0.0649908,0.43028352,1.6381899,73
ext_avgc13_adr14,1.6463656,1.0140669,-0.19614315,1.124765,1.6381277,73
nr_c_maxh45_adr14,0.76721996,0.66949505,2.627891,1.1362231,1.637593,73
ext_ceil_xavgc12_adr14_lb504,0.30750385,0.20362896,-0.06720367,0.22913258,1.6353307,70
st_l_gt_xavgc8_50,0.24657534,0.75976634,2.0719178,1.1167397,1.634528,73
st_l_gt_xavgc8_10,0.24657534,0.75976634,2.0719178,1.1167397,1.634528,73
st_l_gt_xavgc8_15,0.24657534,0.75976634,2.0719178,1.1167397,1.634528,73
st_l_gt_xavgc8_30,0.24657534,0.75976634,2.0719178,1.1167397,1.634528,73
st_l_gt_xavgc8_20,0.24657534,0.75976634,2.0719178,1.1167397,1.634528,73
es_ext50_rsi_slope_21_off5,5.9576435,10.85554,-11.594639,10.74811,1.6330576,73
